"Course","Prioritization","Requires Subscription","Title","Video URL","Creation Date","Modified Date","unique id"
"Resume & LinkedIn","2","no","Where Resume & LinkedIn optimization fit in the path to landing a PM offer","0c5f5e5c552e41ec9e14e560d68bdb97","Aug 24, 2024 12:25 pm","Aug 24, 2024 12:37 pm","1724516701173x772279334492700200"
"Resume & LinkedIn","3","no","Understanding the goal of Product Management hiring","2bd32da067784a4691d0a98457fcb4d1","Aug 24, 2024 12:26 pm","Aug 24, 2024 12:37 pm","1724516769024x892865625164330400"
"Resume & LinkedIn","4","no","How hiring Product Managers works behind the scenes","5337058bb0334578a74f9a610eb52bb6","Aug 24, 2024 12:29 pm","Aug 24, 2024 12:37 pm","1724516948509x712470018300046700"
"Resume & LinkedIn","5","no","Understanding what PM roles to target: 4 Vector Fit","d87b88107a574f4fabba4d03fa98aa4e","Aug 24, 2024 12:32 pm","Nov 19, 2024 11:15 pm","1724517174719x546929600539673540"
"Resume & LinkedIn","1","no","Introduction","79273cdab48f4443a7ddf51cf0fc00d5","Aug 24, 2024 12:36 pm","Aug 24, 2024 12:37 pm","1724517410733x510416421439811900"
"Resume & LinkedIn","7","no","Turn your background into a strong PM career strategy","df0051cf499644ccbb78741797a3b051","Aug 24, 2024 12:41 pm","Nov 19, 2024 11:16 pm","1724517717033x382820110306785400"
"Resume & LinkedIn","8","no","What recruiters are looking for in Product Manager candidates","7bd657835e3949a8985c903590a0ae49","Aug 24, 2024 12:42 pm","Nov 19, 2024 11:16 pm","1724517751307x421786023198143600"
"Resume & LinkedIn","9","yes","How to customize your LinkedIn profile to build authority","316bf5037afc482db02c0feed753b992","Aug 24, 2024 12:43 pm","Aug 24, 2024 12:43 pm","1724517780714x266244338524604060"
"Resume & LinkedIn","10","yes","How to write powerful resume bullets","dee20cf1b7f1466aabbc9c6f1ba43bcc","Aug 24, 2024 12:43 pm","Aug 24, 2024 12:43 pm","1724517818420x785226613356013600"
"Resume & LinkedIn","11","yes","How to format your PM resume","d6a4b97c2bd64df4b3293d5bbc536a58","Aug 24, 2024 12:44 pm","Aug 24, 2024 12:44 pm","1724517850967x290736025822394560"
"Resume & LinkedIn","12","yes","Using the PM Resume Template + Example PM Resume","a13d9f1037504b5aafdf6aea0d5e45d2","Aug 24, 2024 12:44 pm","Aug 24, 2024 12:44 pm","1724517884741x114293608008197100"
"Resume & LinkedIn","13","yes","How to tailor your PM resume for specific roles","9132fde49a5543ff812dfce0e3579487","Aug 24, 2024 12:45 pm","Aug 24, 2024 12:45 pm","1724517910592x853674398531746600"
"Launch a Product Portfolio","1","no","What is a portfolio & why do you need it?","cd0c4a7926774d7db4c4c7b0a6168224","Aug 24, 2024 2:12 pm","Aug 24, 2024 2:13 pm","1724523148854x385262999719397700"
"Launch a Product Portfolio","2","no","Parts of a Case Study","3a66b5086da747bfaf2f65601f8a3da4","Aug 24, 2024 2:12 pm","Aug 24, 2024 2:13 pm","1724523148855x844413117976929400"
"Launch a Product Portfolio","3","no","Picking a Product / Problem","f43562bfd8074fd1948978d38cb41c4a","Aug 24, 2024 2:12 pm","Nov 19, 2024 11:16 pm","1724523148856x584247611046414600"
"Launch a Product Portfolio","4","no","Case Study Part 1: Problem - Discover","564471e164954969901597570a4cf2f4","Aug 24, 2024 2:12 pm","Nov 19, 2024 11:16 pm","1724523148858x905909498374489100"
"Launch a Product Portfolio","5","yes","Case Study Part 2: Problem - Definition","b753b5e87a7648a9bced7223a08ff886","Aug 24, 2024 2:12 pm","Aug 24, 2024 2:14 pm","1724523148859x278601432762530780"
"Launch a Product Portfolio","6","yes","Case Study Part 3: Solution - Develop","3c20a4037b3c4ba19f38f36b29d90248","Aug 24, 2024 2:12 pm","Aug 24, 2024 2:14 pm","1724523148860x915455137788455000"
"Launch a Product Portfolio","7","yes","Case Study Part 4: Solution - Deliver","3f269cebd260417c812ab2f1bd5c3ff7","Aug 24, 2024 2:12 pm","Aug 24, 2024 2:14 pm","1724523148861x195597365083511000"
"Launch a Product Portfolio","8","yes","About Me","93ba290aac574094807c4d585f3ff8b2","Aug 24, 2024 2:12 pm","Aug 24, 2024 2:14 pm","1724523148862x563670430341908400"
"Launch a Product Portfolio","9","yes","Work","f65a3399c20b49438bce8f1456b0b206","Aug 24, 2024 2:12 pm","Aug 24, 2024 2:14 pm","1724523148864x183419412312771040"
"Launch a Product Portfolio","10","yes","Side Projects","36d9bd161adb4497989a4f2c2616ee9d","Aug 24, 2024 2:12 pm","Aug 24, 2024 2:14 pm","1724523148865x423388936955799040"
"Launch a Product Portfolio","11","yes","Contact","a91405ac09c845f6a0407af1141c02a9","Aug 24, 2024 2:12 pm","Aug 24, 2024 2:13 pm","1724523148867x769289624906590600"
"Launch a Product Portfolio","12","yes","Putting it All Together","785774349b14430588a326a3d024002d","Aug 24, 2024 2:12 pm","Aug 24, 2024 2:14 pm","1724523148868x610348945957431200"
"Launch a Product Portfolio","13","yes","Using your Portfolio to stand out","fcdf16f50e03404192de4e126d9dc664","Aug 24, 2024 2:12 pm","Aug 24, 2024 2:14 pm","1724523148870x812337905393055200"
"Launch a Product Portfolio","14","yes","Figma 101 for creating graphics","d0337ecb86454ef3a9a0d7c2abf47c23","Aug 24, 2024 2:12 pm","Aug 24, 2024 2:13 pm","1724523148871x482197661294457400"
"Launch a Product Portfolio","15","no","Case Example: Uber Eats","6059fb9aed5c43edb67a12f0f2e8fa9c","Aug 24, 2024 2:12 pm","Nov 19, 2024 11:17 pm","1724523148872x417662555182680700"
"Launch a Product Portfolio","16","no","Case Example: PayPal","a9efd91fdd25478f99a1becde7060275","Aug 24, 2024 2:12 pm","Nov 19, 2024 11:17 pm","1724523148873x249531988906737120"
"Resume & LinkedIn","6","no","How big companies differ from small companies for PMs","ebb0d26b8c50458c9fcf176ea4e61284","Aug 24, 2024 2:12 pm","Nov 19, 2024 11:16 pm","1724523148881x362367588900274600"
"Secure a Referral","1","no","Importance of Networking","13d5a634387b44a6b44448272e16ea86","Aug 24, 2024 2:19 pm","Aug 24, 2024 2:19 pm","1724523595544x727922038920675100"
"Secure a Referral","2","yes","What to say when reaching out","7422302ccd4a4fedbd262eeb424fc543","Aug 24, 2024 2:23 pm","Aug 24, 2024 2:23 pm","1724523833282x166821940191260060"
"Secure a Referral","3","yes","What to say on the call","9036f0fe2642444f954dc67390708f54","Aug 24, 2024 2:24 pm","Aug 24, 2024 2:24 pm","1724523855246x879273516118393700"
"Secure a Referral","4","yes","How to win your contact over","d18ead41805f41b0bc61ac490eac8833","Aug 24, 2024 2:24 pm","Aug 24, 2024 2:24 pm","1724523892060x360117111733173200"
"Secure a Referral","5","yes","Communicating to your network","2628154f54f94865a60a7871942424fe","Aug 24, 2024 2:25 pm","Aug 24, 2024 2:25 pm","1724523920023x246048729886136030"
"Company Prep & Applying","1","no","Finding the right jobs to apply to","0fff0b49a99445b3b48bd03b310919e5","Aug 24, 2024 2:26 pm","Nov 19, 2024 11:17 pm","1724524005406x751010877530502000"
"Company Prep & Applying","2","yes","Standing out in the application process","37642fc608724b8ab1b58b9f9822c082","Aug 24, 2024 2:27 pm","Aug 24, 2024 2:27 pm","1724524029256x606566039959138200"
"Company Prep & Applying","3","yes","How to Apply","d23e78ded063423eb35536b284b3f13b","Aug 24, 2024 2:27 pm","Aug 24, 2024 2:27 pm","1724524050494x477226012284403650"
"Company Prep & Applying","4","yes","Staying motivated during your search","080c8051412548dda28152d56c47ce36","Aug 24, 2024 2:28 pm","Aug 24, 2024 2:28 pm","1724524087049x789168890221503200"
"Nail the PM Interviews","1","no","Welcome to the PM Interview Course","79819c76b5b7481785ac78e83a061bdf","Aug 24, 2024 2:51 pm","Feb 23, 2025 3:57 pm","1724525497669x702061592911198800"
"Nail the PM Interviews","3","yes","What are PM interviewers looking for?","ec0715d430b14c66946067321ec2555f","Aug 24, 2024 2:52 pm","Feb 23, 2025 4:15 pm","1724525521079x952236655165268700"
"Nail the PM Interviews","6","yes","Interview Tips & Tricks","b45c706efab646f6b66759e18e12c7db","Aug 24, 2024 2:52 pm","Feb 23, 2025 4:16 pm","1724525546678x883013134013012100"
"Nail the PM Interviews","5","yes","Preparing For Your Interview","0a711c4bde534ad5936cc351b8f96aee","Aug 24, 2024 2:53 pm","Feb 23, 2025 4:13 pm","1724525600861x695174103794191400"
"Nail the PM Interviews","12","yes","Tell Me About Yourself Framework","3d7e1b2bc4ff4aaa81a89f070292640a","Aug 24, 2024 2:53 pm","Feb 23, 2025 4:30 pm","1724525628919x319605794872405570"
"Nail the PM Interviews","13","yes","Tell Me About Yourself Example","57e2aa24c2e240dea182050c63730770","Aug 24, 2024 2:54 pm","Feb 23, 2025 4:31 pm","1724525650669x592920679976174600"
